order_id,date,product_id,product_name,category,quantity,unit_price,revenue,region
SO000001,2025-09-25,P001,Steel Coil,Raw Materials,26,16.64,432.64,Asia Pacific
SO000002,2026-01-16,P016,Battery Pack,Electronics,2,135.03,270.06,Asia Pacific
SO000003,2026-12-19,P010,Shipping Crate,Packaging,27,15.02,405.54,Europe
SO000004,2026-10-23,P020,Insulation Tape,Raw Materials,8,5.18,41.44,EMEA
SO000005,2026-11-04,P007,Industrial Motor,Finished Goods,5,317.41,1587.05,Europe
SO000006,2025-03-25,P009,Packaging Sleeve,Packaging,2,3.79,7.58,Europe
SO000007,2026-04-17,P015,Fastener Kit,Components,25,6.02,150.5,Latin America
SO000008,2026-07-23,P017,Cooling Fan,Finished Goods,5,36.02,180.1,Latin America
SO000009,2025-11-12,P024,Industrial Sensor,Electronics,5,173.31,866.55,Asia Pacific
SO000010,2025-03-11,P008,Control Panel,Finished Goods,3,289.93,869.79,Asia Pacific
SO000011,2026-03-13,P020,Insulation Tape,Raw Materials,28,5.53,154.84,Asia Pacific
SO000012,2025-04-18,P009,Packaging Sleeve,Packaging,24,4.21,101.04,Europe
SO000013,2026-02-17,P025,Bulk Resin,Raw Materials,4,33.76,135.04,North America
SO000014,2025-12-25,P013,Quality Label,Packaging,8,1.65,13.2,Latin America
SO000015,2025-05-29,P023,Vendor Seal,Packaging,25,0.68,17.0,Asia Pacific
SO000016,2025-03-21,P006,Printed Circuit Board,Components,1,44.38,44.38,Europe
SO000017,2025-10-02,P018,Inspection Tag,Packaging,9,0.94,8.46,Asia Pacific
SO000018,2025-12-07,P018,Inspection Tag,Packaging,11,0.94,10.34,North America
SO000019,2026-10-03,P015,Fastener Kit,Components,29,6.55,189.95,EMEA
SO000020,2026-05-13,P013,Quality Label,Packaging,32,1.5,48.0,EMEA
SO000021,2026-08-09,P019,Protective Film,Packaging,26,2.76,71.76,EMEA
SO000022,2025-05-03,P016,Battery Pack,Electronics,30,139.36,4180.8,EMEA
SO000023,2026-10-26,P012,Power Converter,Electronics,32,73.06,2337.92,Asia Pacific
SO000024,2026-03-16,P001,Steel Coil,Raw Materials,24,20.56,493.44,Asia Pacific
SO000025,2025-10-26,P021,Drive Controller,Electronics,13,129.66,1685.58,EMEA
