vendor_id,vendor_name,category,location,contract_type,payment_terms,rating
V0001,Raw Materials Supply Co. 1,Raw Materials,Germany,Fixed,Net 30,4.79
V0002,Raw Materials Supply Co. 2,Raw Materials,Vietnam,Variable,Prepaid,4.61
V0003,Raw Materials Supply Co. 3,Raw Materials,Poland,Term,Prepaid,4.55
V0004,Components Supply Co. 4,Components,Vietnam,Variable,Net 30,4.31
V0005,Components Supply Co. 5,Components,Germany,Fixed,Net 30,4.01
V0006,Components Supply Co. 6,Components,Spain,Variable,Net 45,3.91
V0007,Finished Goods Supply Co. 7,Finished Goods,Mexico,Term,Net 60,4.65
V0008,Finished Goods Supply Co. 8,Finished Goods,Poland,Variable,Net 60,3.36
V0009,Packaging Supply Co. 9,Packaging,Poland,Fixed,Prepaid,3.45
V0010,Packaging Supply Co. 10,Packaging,Vietnam,Fixed,Net 60,3.85
V0011,Electronics Supply Co. 11,Electronics,Canada,Fixed,Prepaid,4.76
V0012,Electronics Supply Co. 12,Electronics,Canada,Variable,Prepaid,3.92
V0013,Packaging Supply Co. 13,Packaging,Poland,Fixed,Prepaid,4.22
V0014,Components Supply Co. 14,Components,Spain,Variable,Net 30,4.24
V0015,Components Supply Co. 15,Components,China,Term,Net 30,4.49
V0016,Electronics Supply Co. 16,Electronics,Canada,Variable,Prepaid,4.79
V0017,Finished Goods Supply Co. 17,Finished Goods,Germany,Variable,Prepaid,4.41
V0018,Packaging Supply Co. 18,Packaging,Poland,Fixed,Prepaid,4.41
V0019,Packaging Supply Co. 19,Packaging,India,Variable,Prepaid,4.65
V0020,Raw Materials Supply Co. 20,Raw Materials,Canada,Variable,Net 60,4.7
V0021,Electronics Supply Co. 21,Electronics,USA,Fixed,Prepaid,4.65
V0022,Finished Goods Supply Co. 22,Finished Goods,Spain,Fixed,Net 45,3.67
V0023,Packaging Supply Co. 23,Packaging,Spain,Variable,Prepaid,4.65
V0024,Electronics Supply Co. 24,Electronics,Poland,Variable,Net 30,4.7
V0025,Raw Materials Supply Co. 25,Raw Materials,Mexico,Variable,Net 30,3.99
V0026,Raw Materials Supply Co. 26,Raw Materials,Poland,Fixed,Net 45,4.94
V0027,Raw Materials Supply Co. 27,Raw Materials,Spain,Term,Net 60,4.83
V0028,Raw Materials Supply Co. 28,Raw Materials,Mexico,Fixed,Prepaid,3.46
V0029,Components Supply Co. 29,Components,USA,Fixed,Prepaid,4.25
V0030,Components Supply Co. 30,Components,Germany,Variable,Net 45,3.65
V0031,Components Supply Co. 31,Components,Vietnam,Fixed,Net 60,4.4
V0032,Finished Goods Supply Co. 32,Finished Goods,Mexico,Fixed,Net 60,4.4
V0033,Finished Goods Supply Co. 33,Finished Goods,Vietnam,Variable,Prepaid,4.44
V0034,Packaging Supply Co. 34,Packaging,China,Variable,Prepaid,4.26
V0035,Packaging Supply Co. 35,Packaging,Vietnam,Term,Net 60,3.35
V0036,Electronics Supply Co. 36,Electronics,China,Term,Net 60,4.11
V0037,Electronics Supply Co. 37,Electronics,Canada,Term,Net 45,3.88
V0038,Packaging Supply Co. 38,Packaging,Germany,Fixed,Net 30,3.29
V0039,Components Supply Co. 39,Components,Mexico,Variable,Net 30,3.25
V0040,Components Supply Co. 40,Components,Spain,Fixed,Net 60,4.01
V0041,Electronics Supply Co. 41,Electronics,Germany,Variable,Prepaid,4.23
V0042,Finished Goods Supply Co. 42,Finished Goods,China,Fixed,Net 45,3.98
V0043,Packaging Supply Co. 43,Packaging,Mexico,Variable,Net 45,4.42
V0044,Packaging Supply Co. 44,Packaging,Germany,Variable,Net 30,3.55
V0045,Raw Materials Supply Co. 45,Raw Materials,China,Fixed,Net 30,4.01
V0046,Electronics Supply Co. 46,Electronics,Brazil,Variable,Net 30,3.43
V0047,Finished Goods Supply Co. 47,Finished Goods,Poland,Fixed,Net 45,3.49
V0048,Packaging Supply Co. 48,Packaging,China,Fixed,Prepaid,4.16
V0049,Electronics Supply Co. 49,Electronics,Germany,Fixed,Net 45,3.82
V0050,Raw Materials Supply Co. 50,Raw Materials,India,Variable,Prepaid,3.72
V0051,Raw Materials Supply Co. 51,Raw Materials,China,Fixed,Prepaid,4.0
V0052,Raw Materials Supply Co. 52,Raw Materials,Poland,Variable,Net 60,4.67
V0053,Raw Materials Supply Co. 53,Raw Materials,Brazil,Fixed,Net 30,4.78
V0054,Components Supply Co. 54,Components,Mexico,Variable,Net 45,4.93
V0055,Components Supply Co. 55,Components,Mexico,Term,Net 60,4.21
V0056,Components Supply Co. 56,Components,Vietnam,Variable,Net 45,3.4
V0057,Finished Goods Supply Co. 57,Finished Goods,India,Variable,Net 45,4.23
V0058,Finished Goods Supply Co. 58,Finished Goods,Vietnam,Fixed,Net 45,3.38
V0059,Packaging Supply Co. 59,Packaging,India,Fixed,Prepaid,3.51
V0060,Packaging Supply Co. 60,Packaging,USA,Variable,Net 45,4.36
V0061,Electronics Supply Co. 61,Electronics,Germany,Variable,Net 60,4.26
V0062,Electronics Supply Co. 62,Electronics,Germany,Fixed,Net 60,3.49
V0063,Packaging Supply Co. 63,Packaging,India,Fixed,Prepaid,4.76
V0064,Components Supply Co. 64,Components,India,Variable,Net 30,3.3
V0065,Components Supply Co. 65,Components,Brazil,Fixed,Net 30,3.37
V0066,Electronics Supply Co. 66,Electronics,Poland,Variable,Net 60,3.77
V0067,Finished Goods Supply Co. 67,Finished Goods,Spain,Variable,Net 30,4.86
V0068,Packaging Supply Co. 68,Packaging,Mexico,Variable,Prepaid,3.97
V0069,Packaging Supply Co. 69,Packaging,Germany,Variable,Net 60,3.9
V0070,Raw Materials Supply Co. 70,Raw Materials,Mexico,Fixed,Prepaid,4.78
V0071,Electronics Supply Co. 71,Electronics,India,Variable,Net 60,4.51
V0072,Finished Goods Supply Co. 72,Finished Goods,Germany,Fixed,Prepaid,3.77
V0073,Packaging Supply Co. 73,Packaging,USA,Variable,Net 60,3.56
V0074,Electronics Supply Co. 74,Electronics,USA,Variable,Net 30,3.49
V0075,Raw Materials Supply Co. 75,Raw Materials,Germany,Fixed,Net 45,4.14
V0076,Raw Materials Supply Co. 76,Raw Materials,Vietnam,Variable,Net 60,3.25
V0077,Raw Materials Supply Co. 77,Raw Materials,Vietnam,Fixed,Prepaid,3.89
V0078,Raw Materials Supply Co. 78,Raw Materials,Brazil,Variable,Net 45,4.59
V0079,Components Supply Co. 79,Components,China,Variable,Prepaid,4.8
V0080,Components Supply Co. 80,Components,China,Fixed,Net 30,3.7
V0081,Components Supply Co. 81,Components,Spain,Variable,Net 60,3.45
V0082,Finished Goods Supply Co. 82,Finished Goods,Vietnam,Fixed,Net 45,4.2
V0083,Finished Goods Supply Co. 83,Finished Goods,Poland,Term,Net 60,4.34
V0084,Packaging Supply Co. 84,Packaging,Mexico,Fixed,Net 30,4.33
V0085,Packaging Supply Co. 85,Packaging,Brazil,Variable,Net 45,4.42
V0086,Electronics Supply Co. 86,Electronics,China,Term,Prepaid,4.47
V0087,Electronics Supply Co. 87,Electronics,Mexico,Term,Net 45,4.21
V0088,Packaging Supply Co. 88,Packaging,India,Fixed,Net 45,3.87
V0089,Components Supply Co. 89,Components,Spain,Variable,Prepaid,4.81
V0090,Components Supply Co. 90,Components,Vietnam,Fixed,Net 45,4.33
V0091,Electronics Supply Co. 91,Electronics,China,Variable,Net 30,4.91
V0092,Finished Goods Supply Co. 92,Finished Goods,Poland,Variable,Net 30,4.35
V0093,Packaging Supply Co. 93,Packaging,Germany,Fixed,Net 60,3.45
V0094,Packaging Supply Co. 94,Packaging,Germany,Term,Net 30,4.16
V0095,Raw Materials Supply Co. 95,Raw Materials,Vietnam,Fixed,Net 30,4.92
V0096,Electronics Supply Co. 96,Electronics,Canada,Variable,Net 45,4.94
V0097,Finished Goods Supply Co. 97,Finished Goods,Germany,Fixed,Prepaid,3.8
V0098,Packaging Supply Co. 98,Packaging,India,Fixed,Net 45,3.49
V0099,Electronics Supply Co. 99,Electronics,India,Fixed,Net 60,3.84
V0100,Raw Materials Supply Co. 100,Raw Materials,Canada,Fixed,Net 30,4.73
